After You,14
Again,16
Agua De Beber,17
Ain't No Sunshine,19
Alice In Wonderland,21
All About Ronnie,23
All My Tomorrows,24
All Of You,26
All The Way,29
All Through The Night,31
Alone Together,33
Am I Blue?,35
And The Angels Sing,36
Anything Goes,38
As Time Goes By,40
As We Speak,42
At Last,46
At Long Last Love,48
Autumn Nocturne,50
Bags' Groove,52
Baltimore Oriole,54
"Beautiful Friendship, A",56
Begin The Beguine,57
"Bess, You Is My Woman",59
"Best Is Yet To Come, The",61
Bewitched,63
Bidin' My Time,65
Blackberry Winter,67
Blue And Sentimental,69
Blue Gardenia,70
Blue Room,72
Blues In The Night,74
Bluesette,76
Born To Be Blue,78
But Not For Me,80
Caught Up In The Rapture,84
Charade,86
"Christmas Waltz, The",88
Close Enough For Love,89
Close To You,91
Come Fly With Me,93
"Continental, The",95
Cottontail,97
Crazy He Calls Me,99
Crazy Rhythm,101
Cute,103
Dancing In The Dark,105
Dancing On The Ceiling,107
"Day In, Day Out",109
Days Of Wine And Roses,111
Dedicated To You,112
Deep Purple,114
"Dock Of The Bay, The",116
Don't Be Blue,118
Don't Worry About Me,120
Doodlin',122
Doxy,125
Dream Dancint,127
Dreamsville,129
Easy To Love,130
Embraceable You,132
Everything Must Change,134
Falling In Love With Love,136
Fascinating Rhythm,138
A Felicidade,140
"Foggy Day, A",142
Forest Flower,144
From This Moment On,146
Get Here,148
Get Out Of Town,150
Girl From Ipanema,152
Give Me The Simple Life,154
Good Bait,156
"Good Life, The",158
Have You Met Miss Jones?,160
He Was Too Good To Me,162
Hello,164
Hey There,166
"House Is Not A Home, A",167
Hot House,168
How Do You Keep The Music Playing?,171
How Insensitive,173
How Little We Know,175
How Long Has This Been Going On?,176
I Can't Get Started,178
I Concentrate On You,180
I Could Write A Book,182
I Cover The Waterfront,184
I Didn't Know About You,186
I Didn't Know What Time It Was,188
I Get A Kick Out Of You,190
I Got Rhythm,192
I Gotta Right To Sing The Blues,194
I Guess I'll Have To Change My Plan,196
I Had The Craziest Dream,198
I Have The Feeling I've Been Here Before,200
I Love Paris,202
I Love You,204
I Loves You Porgy,206
I May Be Wrong,208
I Only Have Eyes For You,210
I Say A Little Prayer For You,212
I Want To Be Happy,214
I Was Doing All Right,216
I Will Be Here For You,218
I Will Wait For You,222
I Wish I Knew,224
I Wish I Were In Love Again,226
If There Is Someone Lovelier Than You,228
I'm A Fool To Want You,230
I'm Gonna Laugh You Right Out Of My Life,232
In The Days Of Our Love,234
In The Midnight Hour,235
Indian Summer,237
Isn't It A Pity,238
It Ain't Necessarily So,240
You Taught My Heart To Sing,240
It Had To Be You,242
It Never Entered My Mind,244
It Was A Very Good Year,246
It's All Right With Me,247
It's De-Lovely,249
It's Magic,251
It's You Or No One,253
I've Got A Crush On You,255
I've Got You Under My Skin,257
Johnny One Note,259
Just One Of Those Things,261
"Lady Is A Tramp, The",263
Lester Leaps In,265
Let's Call The Whole Thing Off,266
Let's Do It (Let’s Fall In Love),268
Li'l Darlin',270
"“Lot Of Living To Do, A”",272
Love For Sale,274
Love Is A Many Splendored Thing,276
Love Me Or Leave Me,278
Love Speaks Louder Than Words,280
Love Walked In,284
"Love, Come Back To Me",286
Lucky To Be Me,288
Lullaby of Broadway,290
"Man I Love, The",292
"Man That Got Away, The",294
Meditation,296
Minute By Minute,298
Miss Otix Regrets,302
Moondance,304
"More I See You, The",306
Mountain Greenery,308
Mr. Lucky,310
My Funny Valentine,311
My Heart Stood Still,313
My Man's Gone Now,315
Nancy (With The Laughing Face),317
Nice Work If You Can Get It,319
Night And Day,321
Not Like This,323
Of Thee I Sing,324
"Oh, Lady Be Good",326
"Old Country, The",328
Old Folks,329
On A Clear Day,331
On A Misty Night,333
One Hundred Ways,335
Our Delight,337
Our Love Is Here To Stay,339
People Make The World Go 'Round,341
Piano In The Dark,343
Teach Me Tonight,343
Pick Up The Pieces,347
Please Don't Talk About Me When I'm Gone,351
Put On A Happy Face,353
Real Love,354
Red Clay,358
Rockin' In Rhythm,360
Round Midnight,362
S Wonderful,364
Sabia,366
Saving All My Love For You,368
Secret Love ,370
September In The Rain,372
Serenade In Blue,374
Shiny Stockings ,376
Since I Fell For You,378
Slow Hot Wind,380
So In Love,381
So Nice (Summer Samba) ,383
"Softly, As In A Morning Sunrise",385
Some Other Time,387
Somebody Love Me,389
Someone To Watch Over Me,391
Something To Talk About,393
Sometimes I'm Happy,397
"“Song For You, A”",399
Soon,401
Soul Man,403
Stormy Weather,405
Strike Up The Band,407
Stuck On You,409
Suite: Judy Blue Eyes,411
"Summer Knows, The",415
Summer Night,417
Summertime,419
Sunny (Sonny),421
Sure Enough,422
Sweet Georgia Brown,426
Take Five,428
Takin' It To The Streets,430
Tea For Two,432
That Certain Feeling,436
"That Sunday, That Summer",438
That's What Friends Are For,440
Then I'll Be Tired Of You,442
There's A Small Hotel,444
There's No You,446
They All Laughed,448
They Can't Take That Away From Me,450
This Heart Of Mine,452
This Is Always,454
Those Eyes,456
Thou Swell,458
Through The Fire,460
Time After Time,464
"“Time For Love, A”",466
Time On My Hands,468
Tis Autumn,470
Tokyo Blues,472
Too Marvelous For Words,474
Too Much Sake,476
Trouble Is A Man,479
Twilight World,480
Two For The Road,482
"Underdog, The",484
Until It's Time For You To Go,486
Until The Real Thing Comes Along,488
Valdez In The Country,490
Walk On By,492
Walkin',493
We're In This Love Together,495
What A Fool Believes,499
What Am I Here For?,505
What Is This Thing Called Love?,506
What The World Needs Now Is Love,508
Wheelers And Dealers,510
When A Man Loves A Woman,512
When The World Was Young,514
When Your Lover Has Gone,516
Where Or When,518
Who Cares?,520
Why Try To Change Me Now?,522
With A Song In My Heart,524
You And The Night And The Music,526
You Are There,528
You Are Too Beautiful,530
You Do Something To Me,532
You Go To My Head,534
You Make Me Feel Brand New,536
You Make Me Feel So Young,538
You Took Advantage Of Me,542
You'd Be So Nice To Come Home To,544
You'll Never Know,546
You're The Top,548
Your Is My Heart Alone,550
