Ah! Se Eu Pudesse,15,15
Amanhã,16,16
Amazonas,17,17
Amor Certinho,18,18
Amor em Paz,19,19
A Morte de um Deus do Sal,20,20
Anos Dourados,21,21
A Paz,22,22
Aquarela do Brasil,23,24
Aquela Coisa,25,26
Aquela Valsa,27,28
"Aqui, Oh!",29,30
A Rã,31,31
Arambaré,32,33
Arte de Voar,34,35
Até quem Sabe,36,36
Aula de Matemática,37,38
Balanço Zona Sul,39,39
Batida Diferente,40,40
Beatriz,41,42
Bebê,43,44
Beijo Partido,45,46
Bolinha de Papel,47,47
Bota na Roda,48,50
Brigas Nunca Mais,51,51
Brisa do Mar,52,52
Bye Bye Brasil,53,53
Caçador de Mim,54,54
Camburi,55,56
Caminho de Casa,57,57
Caminhos Cruzados,58,59
Canção que Morre No Ar,60,60
Carinhoso,61,62
Carioca,63,64
Cego Aderaldo,65,66
Chansong,67,68
Chega de Saudade,69,70
Chora Tua Tristeza,71,72
Chorinho Pra Ele,73,74
Choro Negro,75,76
Chovendo na Roseira,77,79
Chuva,80,80
Ciúme,81,81
Coisa Mais Linda,82,82
Começaria Tudo Outra Vez,83,84
Como Uma Onda,85,86
Corcovado,87,87
Da Cor Brasileira,88,88
Deixa,89,89
Deixa Q'Que Boto,90,91
Desafinado,92,93
Desatando o Nó,94,94
Descendo a Serra,95,96
Deus Brasileiro,97,97
Dindi,98,98
Discussão,99,99
"Dois Pra Lá, Dois Pra Cá",100,101
"Dolphin, The",102,102
Dom de Iludir,103,104
Doralice,105,107
Duas Contas,108,106
Drão,107,108
Ela é Carioca,109,109
Espinha de Bacalhau,110,112
Esquenta-Por-Dentro,113,114
Esquilo Rosa,115,116
Essa Mulher,117,117
Esse Cara,118,118
Estamos Aí,119,119
Este Seu Olhar,120,120
Estrada do Sol,121,121
Eu e a Brisa,122,123
Eu Te Amo,124,125
Evem o Carangueijo,126,128
Falando de Amor,129,129
Falsa Baiana,130,130
Fátima,131,132
Ferrovias,133,134
Flora,135,136
Flor de Lis,137,138
Forró Brasil,139,139
Fotografia,140,140
Frevo,141,143
Frevo em Maceió,144,145
Giselle,146,147
Hô-ba-lá-lá,148,148
Igarapé,149,151
Iluminada,152,153
Influência do Jazz,154,155
Ingênuo,156,157
Insensatez,158,158
Inútil Paisagem,159,159
Isaura,160,160
Isso é o Boi,161,163
Karatê,164,165
Lamentos,166,167
Lígia,168,168
Loro,169,170
Louco Por Você,171,172
Lua de São Jorge,173,173
Lugar Comum,174,174
Luiza,175,176
Madrugada,177,178
Maracatú,179,180
Melancia,181,181
Menino do Rio,182,182
"Meu Bem, Meu Mal",183,184
Meu Bem Querer,185,186
Minha Saudade,187,187
Montreux,188,188
Nada Será Como Antes,189,189
Nordestina,190,191
O Bêbado e a Equilibrista,192,193
O Que é Amar,194,195
Outra Vez,196,197
O Ovo,198,198
Palhaço,199,199
Pétala,200,200
Poeira na Pomba,201,202
Ponta-de-Lança,203,206
Ponto de Fusão,207,208
Por Causa de Você,209,209
Pra Machucar Meu Coração,210,210
Prece,211,211
Preciso Aprender a Ser Só,212,212
Primavera,213,214
Pro Brotinho,215,216
Puxa um Pescoço-Gelado,217,218
No Rancho Fundo,219,219
Rapaz de Bem,220,221
Rebuliço,222,223
Retrato em Branco e Preto,224,224
Revendo Amigos,225,225
Rio,226,227
Sabe Você,228,229
Samba do Avião,230,231
Samba do Carioca,232,232
Samba de Verão,233,233
Sangrando,234,235
Saudade Fez Um Samba,236,236
Se É Tarde Me Perdoa,237,237
Sete Anéis,238,239
Setembro,240,240
Se Eu Quiser Falar Com Deus,241,241
Sonho de Maria,242,243
Sonoroso,244,244
Só Tinha de Ser Com Você,245,246
Só Xote,247,247
Tardes na Tailândia,248,248
Telefone,249,249
Teletema,250,250
Tintim Por Tintim,251,252
Triste,253,253
Tristeza de Nós Dois,254,255
Trocando em Miúdos,256,257
Um a Zero,258,260
Vagamente,261,261
Vála-me!,262,263
Vidigal,264,264
Vivo Sonhando,265,266
Você é Linda,267,267
Você,268,268
Você e Eu,269,269
Vôo dos Urubus,270,271
Vou Vivendo,272,273
Wave,274,274
Zebi,275,275